movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,IMAX,(no genres listed),movieIda
1,Toy Story (1995),0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
3,Grumpier Old Men (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
4,Waiting to Exhale (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
5,Father of the Bride Part II (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,Heat (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
7,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
8,Tom and Huck (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,GoldenEye (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
11,"American President, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11
12,Dracula: Dead and Loving It (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
13,Balto (1995),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,Nixon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
15,Cutthroat Island (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
16,Casino (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
17,Sense and Sensibility (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17
18,Four Rooms (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19,Ace Ventura: When Nature Calls (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20,Money Train (1995),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20
21,Get Shorty (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21
22,Copycat (1995),0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,22
23,Assassins (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
24,Powder (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24
25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25
26,Othello (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26
27,Now and Then (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
28,Persuasion (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,29
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30
31,Dangerous Minds (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,32
33,Babe (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33
34,Carrington (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34
35,Dead Man Walking (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35
36,Across the Sea of Time (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,36
37,It Takes Two (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
38,Clueless (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38
39,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39
40,Richard III (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40
41,Dead Presidents (1995),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
42,Restoration (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
43,Mortal Kombat (1995),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43
44,To Die For (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44
45,How to Make an American Quilt (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,45
46,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46
47,Pocahontas (1995),0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,47
48,When Night Is Falling (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,48
49,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,49
50,Mighty Aphrodite (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,50
51,"Big Green, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
52,Georgia (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52
53,Kids of the Round Table (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53
54,Home for the Holidays (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54
55,"Postman, The (Postino, Il) (1994)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,55
56,"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,56
57,"Indian in the Cupboard, The (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57
58,Eye for an Eye (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,58
59,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
61,Two if by Sea (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61
62,Bio-Dome (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
63,Lawnmower Man 2: Beyond Cyberspace (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,63
64,Two Bits (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64
65,French Twist (Gazon maudit) (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65
66,Friday (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
67,From Dusk Till Dawn (1996),1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,67
68,Fair Game (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
69,Kicking and Screaming (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69
70,"Misérables, Les (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,70
71,Bed of Roses (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,71
72,Big Bully (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72
73,Screamers (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,73
74,Nico Icon (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74
75,"Crossing Guard, The (1995)",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,75
76,"Juror, The (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,76
77,"White Balloon, The (Badkonake sefid) (1995)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77
78,Things to Do in Denver When You're Dead (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,78
79,Antonia's Line (Antonia) (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79
80,Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,80
81,Last Summer in the Hamptons (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81
82,Angels and Insects (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,82
83,White Squall (1996),1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83
84,Dunston Checks In (1996),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
85,Black Sheep (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
86,Nick of Time (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86
87,"Journey of August King, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87
88,Mary Reilly (1996),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,88
89,Vampire in Brooklyn (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,89
